name,artist,uri,url,genre,danceability,energy,valence,acousticness
Rajasthani Folk Melody in Raga Mand,Santosh Nahar,spotify:track:3CNetfque43lmTkmZEVxLq,https://p.scdn.co/mp3-preview/bdb0980ad1eaf936fd53d9260b6f545769a38333?cid=044f973e13634ba3becdcb523d0f964f,indian folk,0.354,0.604,0.668,0.796
Faces in the Haze (Ambient),The American Dollar,spotify:track:6HZ9rh0CR03xqSNw1TZXZN,https://p.scdn.co/mp3-preview/b7011865283257f78c0c67868b8cef231e66cf34?cid=044f973e13634ba3becdcb523d0f964f,compositional ambient,0.179,0.292,0.0351,0.806
Woke up This Morning - Live,Michael Chapman,spotify:track:64PdMccz38DZY8ddA8feWA,https://p.scdn.co/mp3-preview/bb8cc93bc6d17de441cd4b016df9882adb40b557?cid=044f973e13634ba3becdcb523d0f964f,drone folk,0.618,0.304,0.74,0.827
Popurrí de Cumbias Colombianas: Canoa Racha / A Mover la Colita / La Pollera Colorá / Amor de Mis Amores,Orquesta Marbella,spotify:track:6DZQ64ShiGuQsZafoYVLk6,https://p.scdn.co/mp3-preview/6a9508de0250483c95dc1b22bbc45ea039904289?cid=044f973e13634ba3becdcb523d0f964f,orquestas de galicia,0.561,0.84,0.898,0.401
Foolproof - Andhim Remix,Hayden James,spotify:track:5RwjfRggmbhoCsfpXOe2vg,https://p.scdn.co/mp3-preview/1f86ee00a72fa4ffeb46457afcd6631c230e1fac?cid=044f973e13634ba3becdcb523d0f964f,aussietronica,0.619,0.898,0.213,0.0073
Andas En Mi Cabeza,Chino & Nacho,spotify:track:3C7ptQxJuYOmQCa4gVqRp3,,electro latino,0.67,0.957,0.552,0.0296
Overthinking,Ohm Guru,spotify:track:0z6noyTHMIXjCU61yipE50,https://p.scdn.co/mp3-preview/af490818cb583eff428e0b2e5f727ce097635b38?cid=044f973e13634ba3becdcb523d0f964f,italian hip hop,0.818,0.473,0.579,0.108
"Bach, JS: Wachet auf, ruft uns die Stimme, BWV 140: I. Wachet auf, ruft uns die Stimme (Arr. for Guitar)",Johann Sebastian Bach,spotify:track:2U28cm6cXSZvycEPcdAOzf,https://p.scdn.co/mp3-preview/538846cd31940b0c3a6dbab4e35b3e02f86c3dee?cid=044f973e13634ba3becdcb523d0f964f,classical guitar,0.414,0.044,0.506,0.995
Unsuffer Me,Charles Lloyd,spotify:track:2YmLkLFKLPQb4KGwoSwd21,,avant garde,0.616,0.431,0.591,0.477
A StoryBots Halloween,StoryBots,spotify:track:0dpdd8Nk2bSGbCMtigGwxj,,children s story,0.675,0.765,0.964,0.112
Der Brænder En Ild,Folkeklubben,spotify:track:5yjbIexPYzWUTVM7b0yd8p,,danish folk,0.66,0.672,0.895,0.00692
"Quartet for flute, viola, guitar and violoncello in G major, D 96 (Anh.II,2): 4. Zingara. Andantino - Trio",Franz Schubert,spotify:track:4MV9MkpGg6vLew7JNWUCzA,,classical guitar quartet,0.36,0.078,0.417,0.967
"Sinding: Suite for Violin and Orchestra in A Minor, Op. 10: I. Presto",Christian Sinding,spotify:track:2ZjnMG8bkUB1pcLYocBebt,https://p.scdn.co/mp3-preview/2c4b24a6205632c73bcedd0c3de6f516769202eb?cid=044f973e13634ba3becdcb523d0f964f,norwegian jazz,0.412,0.392,0.32,0.877
"The Messiah, HWV 56, Pt. 3: No. 50, O Death, Where Is Thy Sting (Countertenor, Tenor)",George Frideric Handel,spotify:track:7fBo5xSEycqHMUw4DUduhx,https://p.scdn.co/mp3-preview/25966c47447df0d4f9e7eababc4c3a3c6a478003?cid=044f973e13634ba3becdcb523d0f964f,classical countertenor,0.509,0.199,0.536,0.869
Untrust Us,Crystal Castles,spotify:track:6RpuNjTsUQo7eByN3kWvYx,https://p.scdn.co/mp3-preview/3a478b4c1d5b10d32ecc0fbc0b0fe1d082fa2fc5?cid=044f973e13634ba3becdcb523d0f964f,nintendocore,0.609,0.807,0.203,0.0376
"István, a király: Act IV, ""István, a király"": Halld meg, Uram, a kérésem - Felnégyelni! (Réka, István, Sarolt, Lovagok",Levente Szörényi,spotify:track:2mKPftK35S9oV0w6VlZbfH,https://p.scdn.co/mp3-preview/ecb5c85ba54810cf90e0b8aa85344b1740184d2f?cid=044f973e13634ba3becdcb523d0f964f,hungarian rock,0.383,0.335,0.273,0.557
Crazy On My Mind,Mr Joseph,spotify:track:70HT0Q7tVopreT09LfvBQ0,https://p.scdn.co/mp3-preview/a56adaeaa1a8a58fee847a8d4ec96c6244771eeb?cid=044f973e13634ba3becdcb523d0f964f,liquid funk,0.601,0.558,0.359,0.00772
Ogopogo Punk,The Evaporators,spotify:track:51NoTQuo4ooWgA2cXWjLeW,https://p.scdn.co/mp3-preview/6677a14cfbb16f1c74943a4abad659dfd4c082db?cid=044f973e13634ba3becdcb523d0f964f,vancouver punk,0.528,0.897,0.92,0.0521
Fermented Cranial Inebriating Fluids,Cerebral Incubation,spotify:track:2Pql7hqeymT7HN4jhnDTMo,https://p.scdn.co/mp3-preview/6763181f641c56baac5c5f620f0d11d55f07d65f?cid=044f973e13634ba3becdcb523d0f964f,goregrind,0.381,0.673,0.445,0.000116
A Y U Live,Phill Niblock,spotify:track:1Aj35Hslmy5DiOZPFzf38s,https://p.scdn.co/mp3-preview/0aa631c71fd66563a8004e404c8f1851d4d43143?cid=044f973e13634ba3becdcb523d0f964f,acousmatic,0.0615,0.263,0.0219,0.989
Lambada - Original Version 1989,Kaoma,spotify:track:6xepovPqjvrkEw9Y5AMmTm,https://p.scdn.co/mp3-preview/26abc0cd38e65739c2ef8c23243ec666dca0f523?cid=044f973e13634ba3becdcb523d0f964f,disco,0.756,0.8,0.967,0.211
Body & Soul,Valentino Jazz Bazar,spotify:track:3AV0Mco3MkIu3jE75QZfyB,https://p.scdn.co/mp3-preview/bc5dff89c192cec4ef62de03b6e4cc0710b9cc23?cid=044f973e13634ba3becdcb523d0f964f,argentine jazz,0.41,0.137,0.192,0.911
Orke 05,Mamer,spotify:track:483dWMdxBP7frkA1i2mhMp,https://p.scdn.co/mp3-preview/6cd94ea295800f6412519f10f9ef91dda16c07bd?cid=044f973e13634ba3becdcb523d0f964f,dombra,0.555,0.361,0.403,0.921
Dance it Out,Crying Day Care Choir,spotify:track:3TwyOhojaP0xT5uLvz7iCI,https://p.scdn.co/mp3-preview/bcbede841931de75a549b6a491826ff87f1f4bcc?cid=044f973e13634ba3becdcb523d0f964f,swedish choir,0.882,0.15,0.562,0.754
Use O Funk Pra Dancar,Bonde do Tigrão,spotify:track:6DzmBjLIEWBgH4YphTcf0E,https://p.scdn.co/mp3-preview/019ceca31f1eaf0e1c06431e02301984e3e1ac18?cid=044f973e13634ba3becdcb523d0f964f,funk carioca,0.95,0.863,0.777,0.237
Help Me Make it Through the Night,Charley Pride,spotify:track:4i2yBrmVhiZrQ2pVQtH4Gs,https://p.scdn.co/mp3-preview/b43e3d3dc072189dc61f55fe3193fa861986e39f?cid=044f973e13634ba3becdcb523d0f964f,nashville sound,0.472,0.337,0.426,0.62
Ulgy - Boom Bap Rap Beat Mix,Fx-M Black Beats,spotify:track:50rqghSsUJigcSpf7FQiGm,https://p.scdn.co/mp3-preview/6d7168d16df37693d7e4963d13313cdeedb47939?cid=044f973e13634ba3becdcb523d0f964f,jazz boom bap,0.731,0.321,0.326,0.0725
Corazon Adolorido,Los Silverstones & Joe Clark,spotify:track:5CpznrFyNzHgQBeQXZo9al,https://p.scdn.co/mp3-preview/21f8b7f8fcd6dbd93eabbc43561c719c9e695cdc?cid=044f973e13634ba3becdcb523d0f964f,combos nacionales,0.655,0.473,0.88,0.0867
A Decade Under The Influence - Acoustic,Taking Back Sunday,spotify:track:6c6vG7r3RWpiuIrawHNpd7,,pop punk,0.497,0.326,0.163,0.444
Um Abraço Ao Papete,Toquinho,spotify:track:4p3eTSJpRYzsn5VXF84F7W,,viola,0.376,0.545,0.704,0.765
Español - Instrumental,Type Beat,spotify:track:5HhcmFIe4Wh3z6DODM8m1g,https://p.scdn.co/mp3-preview/3f72de6bdebe12c64826842485984ba058d65f74?cid=044f973e13634ba3becdcb523d0f964f,trap espanol,0.673,0.879,0.743,0.00292
Bon Dia (Instr),Jo Se Una Canço... Menorquina,spotify:track:51ZIoNyRas9ZWa38Y8Orpq,https://p.scdn.co/mp3-preview/3966e4721d762cf25102842cc8ed6e4116907109?cid=044f973e13634ba3becdcb523d0f964f,musica menorquina,0.738,0.353,0.807,0.235
Organ Grinder's Swing,Bunny Berigan,spotify:track:6SKUCtuI2MluIvC9Qh4C93,https://p.scdn.co/mp3-preview/15565efde823265c0ddc51e06af0eebda06b7877?cid=044f973e13634ba3becdcb523d0f964f,vintage swing,0.663,0.217,0.634,0.977
Navidades En Borinquen (feat. Prodigio Claudio),Don Perignon Y La Puertorriqueña,spotify:track:3f1IiR8EoNoBODA2dGBJkJ,https://p.scdn.co/mp3-preview/9803970515d1988a853fc0a14894bcbbbb0a991b?cid=044f973e13634ba3becdcb523d0f964f,salsa puertorriquena,0.824,0.827,0.967,0.188
Black White & Blue - Punks Jump Up Remix,Ladyhawke,spotify:track:7zywlEOXzr9hBHHHRayyNC,,synth punk,0.726,0.72,0.891,0.0189
Return to Oz - ARTBAT Remix,Monolink,spotify:track:0gwNGHcBRYtF7mvgUczVo1,https://p.scdn.co/mp3-preview/e9dea8e4f7feeb40c4ec06b696f2a5ae47703928?cid=044f973e13634ba3becdcb523d0f964f,livetronica,0.854,0.93,0.192,0.563
Otro Trago (En Vivo),Combinacion De La Habana,spotify:track:4tDHyjbF6ykc8euUVoWteF,https://p.scdn.co/mp3-preview/54b9215b58b48c74f9e1dd1971e6cd4d18893c7d?cid=044f973e13634ba3becdcb523d0f964f,timba,0.609,0.846,0.576,0.205
Oriental Jewels - Intrumental,Emad Sayyah,spotify:track:2dXzsDYCPBgrUuFTApH1XB,https://p.scdn.co/mp3-preview/23beb72c900eab6e4279434c78597acc67a8e037?cid=044f973e13634ba3becdcb523d0f964f,belly dance,0.459,0.713,0.728,0.133
"Scheherezade, Op. 35: II. The Story of the Kalendar Prince (Alternative Version) [Bonus Track]",Nikolai Rimsky-Korsakov,spotify:track:10i08XcwYPtlZiaLHB8Yvg,https://p.scdn.co/mp3-preview/11021cc931917ff5b354c44a2f2910bf5a593656?cid=044f973e13634ba3becdcb523d0f964f,russian alternative,0.301,0.0183,0.132,0.966
Now (L.O.V.E. and You & I - Pt. 2),Jazzanova,spotify:track:6rr4MUMgtoRzTswrjzRL36,https://p.scdn.co/mp3-preview/aab7f01a08aab7e0196349c2e59c6e2f41a265af?cid=044f973e13634ba3becdcb523d0f964f,nu jazz,0.714,0.73,0.637,0.069
Karadeniz Gibi Ol - Turkish Trap Beat Mix,HM Music Production,spotify:track:4RoKzKBeWypq8vxslY22RC,https://p.scdn.co/mp3-preview/b565144f29333964b15b1806d62ce86ee6e5cc76?cid=044f973e13634ba3becdcb523d0f964f,remix product,0.687,0.235,0.402,0.275
Shankar: Concerto for Sitar and Orchestra No. 1: II. Raga Sindhi Bhairavi,Ravi Shankar,spotify:track:4ePvTllJvjn5Gg0bv8ZBsa,https://p.scdn.co/mp3-preview/131d4f719cb102987c814bff5073980281cf2770?cid=044f973e13634ba3becdcb523d0f964f,indian jazz,0.417,0.146,0.134,0.94
Poetry of Protest,Jakal,spotify:track:45uI3dyCiZagsDE2LEa6nr,https://p.scdn.co/mp3-preview/6aca873675661446a69070a0b835fd401c849664?cid=044f973e13634ba3becdcb523d0f964f,dub poetry,0.464,0.344,0.892,0.496
How Deep Is Your Love,Yoga Lin,spotify:track:1a2e3qS8FI9j3mxQuGjJNg,https://p.scdn.co/mp3-preview/98160ea2f73751d3fec84abe87169b347a758d28?cid=044f973e13634ba3becdcb523d0f964f,chinese jazz,0.49,0.437,0.392,0.631
In the Mood,Glenn Miller,spotify:track:6dZKWYSx5YBIme4SfpIHJ0,https://p.scdn.co/mp3-preview/94f22a8e26f2593f2938a1bbc3c8c1bd68f59204?cid=044f973e13634ba3becdcb523d0f964f,big band,0.645,0.398,0.705,0.854
Music for a Summer Evening (Makrokosmos III): Nocturnal Sounds (The Awakening),George Crumb,spotify:track:0lTkGkpgZZ3YeKCTfBa2k1,https://p.scdn.co/mp3-preview/c91d1058661d9792643ce987cb4a6206f7302715?cid=044f973e13634ba3becdcb523d0f964f,american contemporary classical,0.361,0.0901,0.143,0.915
Sex 'n' Jazz Part 1 & 2 (Free Style Mix),Gare Du Nord,spotify:track:1PwQyrmwrxjz5a1ahIqMdk,,dutch jazz,0.809,0.508,0.714,0.00423
Arco e sandali,Marta Sui Tubi,spotify:track:3Mba4SK2IqFjsgTRsOUuEE,https://p.scdn.co/mp3-preview/3d18d20286ab5c4ed0b8f35fa05cbc16fca6d219?cid=044f973e13634ba3becdcb523d0f964f,folk rock italiano,0.77,0.583,0.866,0.739
"Symphony No. 1 in D Major, Op. 25 ""Classical"": I. Allegro",Sergei Prokofiev,spotify:track:4No2JkkCxCMXPWWgsnsYyf,https://p.scdn.co/mp3-preview/a8116fd10784758da86beb137887410e46c20ad6?cid=044f973e13634ba3becdcb523d0f964f,early modern classical,0.578,0.124,0.521,0.947
Punk - Arty Rock-n-Rolla Mix,Ferry Corsten,spotify:track:2srUxzyLaqzJXiuQIAa102,https://p.scdn.co/mp3-preview/2431c2f92cd869ca7ba122f2c121a2a8998dbda6?cid=044f973e13634ba3becdcb523d0f964f,dutch punk rock,0.71,0.651,0.281,0.000161
Cairo on Acid,Lützenkirchen,spotify:track:5312n51a3W50wM34JG367k,https://p.scdn.co/mp3-preview/6172a19c4587922b3b6aeb71c22d03c6bb6d6758?cid=044f973e13634ba3becdcb523d0f964f,german electronica,0.796,0.811,0.467,8.45e-05
I Feel Like Funkin' It Up,Rebirth Brass Band,spotify:track:0VxwXgqCJuUWmB4OrofCEs,https://p.scdn.co/mp3-preview/7a17fda05f8ab5e58c0407a24dc8ca1ada9a9e55?cid=044f973e13634ba3becdcb523d0f964f,new orleans funk,0.624,0.717,0.859,0.306
"Morning Crawls Towards You, And I - Live",Good Luck Finding Iris,spotify:track:7tvURb3EutC5eHJQ1QoNTq,https://p.scdn.co/mp3-preview/587cf8315f1f209824a24c2d7aef42cc2065a2ca?cid=044f973e13634ba3becdcb523d0f964f,min yo,0.526,0.225,0.293,0.928
"Apparizione degli spiriti ""Indietro, maledetti!"" - Live",Robert Schumann,spotify:track:6bl6j87FeoOVrJDnOYSRos,https://p.scdn.co/mp3-preview/15a613ad71f127c96922872bef3b6c25feb42adb?cid=044f973e13634ba3becdcb523d0f964f,german indie,0.487,0.4,0.175,0.8
Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,Kacey Musgraves,spotify:track:5lZsDW7S8LYxpEf99tMxkj,,country pop,0.745,0.598,0.789,0.129
Ogede,Krizbeatz,spotify:track:2Rbysa0fUC99aScVSbZfYc,https://p.scdn.co/mp3-preview/45a48b471274af6d5452d03f78cb88e7483708ab?cid=044f973e13634ba3becdcb523d0f964f,gengetone,0.835,0.68,0.817,0.187
Life Was Real. Vital. Urgent. Important/Bum Guts,Kidcrash,spotify:track:0L7yZrL3mTEUawz3Efkrli,https://p.scdn.co/mp3-preview/1a2d6087854004a8f48f874ca44dd1a184f16256?cid=044f973e13634ba3becdcb523d0f964f,skramz,0.229,0.765,0.453,0.000204
A Onda Mi Pricajte O Njoj,Serif Konjevic,spotify:track:6XnD1u2EdvsE9sSQ8j2P38,https://p.scdn.co/mp3-preview/98286451ca340e8016b7a3c6266cbf6b770c093e?cid=044f973e13634ba3becdcb523d0f964f,sevdah,0.384,0.677,0.623,0.631
And Nothing Was the Same,Numenorean,spotify:track:6O47xEDJM8m5O6Cp8XtCNj,https://p.scdn.co/mp3-preview/270b60fb2f69e40c9c6b969bd0338d60a73dc9f6?cid=044f973e13634ba3becdcb523d0f964f,voidgaze,0.44,0.3,0.0447,0.195
It's Beautiful - Original Extended Version,Lovables,spotify:track:4q3r55Z36sLiW0AlSJnEj4,https://p.scdn.co/mp3-preview/ebad5cbc440769ec7ccde5a6a344ed37744a6fda?cid=044f973e13634ba3becdcb523d0f964f,deep italo disco,0.707,0.674,0.662,0.0471
Each Other,Notaker,spotify:track:2MztyJP1OhZqQAHNeynP3E,https://p.scdn.co/mp3-preview/49e22daad43d92639b05cb3ea09a67790ff070a6?cid=044f973e13634ba3becdcb523d0f964f,future rock,0.536,0.47,0.175,0.0691
Please Don't Talk About Me When I'm Gone,Preservation Hall Jazz Band,spotify:track:7J8BMBMF2ZaZTJq0z7XrQI,https://p.scdn.co/mp3-preview/e93a2e295b2ffb15600793af1a757bc2f1b5bfb9?cid=044f973e13634ba3becdcb523d0f964f,new orleans jazz,0.468,0.322,0.682,0.656
Yama no Ongakuka,Momoclochan Z,spotify:track:5Ds6OYWiSlpxnXfek8O0WQ,https://p.scdn.co/mp3-preview/322ae7966de5430f3ea457a96f0f493ef5171fc7?cid=044f973e13634ba3becdcb523d0f964f,kodomo no ongaku,0.828,0.773,0.985,0.332
Azul Oro,Populous,spotify:track:18XhpMPsd4oeX6lQETPeaU,https://p.scdn.co/mp3-preview/1e3a045f1d27bc7ce70c70548646b726f2cb15ef?cid=044f973e13634ba3becdcb523d0f964f,latintronica,0.707,0.658,0.524,0.101
Eva (Hip Hop Chill Step) - Original Mix,Kastor,spotify:track:0hy1T4W9KR1HoUGavcxbPT,https://p.scdn.co/mp3-preview/61dad1c437368152eefbc71f3e374c42504ccb0e?cid=044f973e13634ba3becdcb523d0f964f,finnish hip hop,0.765,0.607,0.225,0.0804
Me Myself And I,De La Soul,spotify:track:1o7pq0fvaVfQSKOKwQAHSo,https://p.scdn.co/mp3-preview/e497ec1055c7c3e28ee389701a130f1b099cbc1b?cid=044f973e13634ba3becdcb523d0f964f,jazz rap,0.898,0.92,0.875,0.0711
17 Años,Los Ángeles Azules,spotify:track:4JHotJHcNUOoegHyX2dHd3,,mexican pop,0.728,0.555,0.832,0.365
Lost and Found,John Hanks,spotify:track:66wFe9EnlHzWEVMKaqvQSO,https://p.scdn.co/mp3-preview/6d4bcfe2094a846f40a977920b43bb6ae275bd79?cid=044f973e13634ba3becdcb523d0f964f,focus,0.803,0.155,0.0759,0.96
Sleeping in My Bed - Radio Mix,Nora En Pure,spotify:track:48AZ3aAbhmO7MHlMKNZGyq,https://p.scdn.co/mp3-preview/ce57e151dd89ef7f5b3a113e0b511160f745ec7d?cid=044f973e13634ba3becdcb523d0f964f,deep r and b,0.789,0.777,0.138,0.167
Untitled - Anders Ilar Rmx,Mikkel Metal,spotify:track:0Uo2cX8wiAh5GIB5MUGkR6,https://p.scdn.co/mp3-preview/95bec0b079feaa11d6b2f4bd237e6c1db5ea88ab?cid=044f973e13634ba3becdcb523d0f964f,danish metal,0.742,0.387,0.216,0.254
Echo’s Rose - Live at the Boulder Theater,Elephant Revival,spotify:track:7rV7v2f1Q3rIRZw6dqjFWU,https://p.scdn.co/mp3-preview/deda58cf20e4ae3e6b087b1b206dc2ee31bf4e05?cid=044f973e13634ba3becdcb523d0f964f,washboard,0.551,0.551,0.538,0.767
I Don't Care Anymore,Jacksonifyer,spotify:track:5uvzeWbtueWJHZfEQ57eiF,https://p.scdn.co/mp3-preview/c89c06f123fc4352fe97da47ad2db174f6927f52?cid=044f973e13634ba3becdcb523d0f964f,glitch hop,0.225,0.889,0.0398,0.00243
"Concerto for 4 Violins in E Minor, RV 550: I. Andante",Antonio Vivaldi,spotify:track:5l9HweT2rC8vy1wfeTxwaa,https://p.scdn.co/mp3-preview/9e1df347a4c2edb1a36e5beb83c8d6efadcd1e8d?cid=044f973e13634ba3becdcb523d0f964f,music hall,0.355,0.0362,0.232,0.911
The End of Heartache,Killswitch Engage,spotify:track:1h96xrwxgN3gEXguNCFAoI,https://p.scdn.co/mp3-preview/c3277193d156adae5436975f2b2ef344bcce3b1b?cid=044f973e13634ba3becdcb523d0f964f,boston metal,0.469,0.976,0.226,0.000288
London Again Suite: I. Oxford Street,Eric Coates,spotify:track:6AH3PnxW7Kwf4exuBQlq2E,https://p.scdn.co/mp3-preview/039ea163c6b89cc1e33f68aa34ae109f5b49efaf?cid=044f973e13634ba3becdcb523d0f964f,light music,0.365,0.249,0.655,0.939
"Sonata in G Major, K 13 (L 486)",Domenico Scarlatti,spotify:track:6uTCvFRE00RsW3AUf39Evn,https://p.scdn.co/mp3-preview/b822559c1b00b40b4bb5d95cc31d8e570bc64034?cid=044f973e13634ba3becdcb523d0f964f,italian renaissance,0.439,0.268,0.961,0.992
It Slipped Her Mind,Sandra Electronics,spotify:track:2Vs1PUNeNj0bi2hPIZ83Kq,https://p.scdn.co/mp3-preview/149ed3047d71db7b89b1a1cec778c370b6d3a77e?cid=044f973e13634ba3becdcb523d0f964f,experimental electronic,0.371,0.942,0.782,1.59e-06
Frau Und Kind,DaMos,spotify:track:663pjvHaSrHQZRCMCahhlr,https://p.scdn.co/mp3-preview/3259ddf71ac9ca2ce96728dca2cafa3493d56c46?cid=044f973e13634ba3becdcb523d0f964f,swiss hip hop,0.867,0.551,0.331,0.0266
"The Albanian Sleepover, Pt. 1 - Sampler Edit",Tangled Thoughts of Leaving,spotify:track:3l9M3vIbqChG5I3XBeWrBa,https://p.scdn.co/mp3-preview/b99887bd382460b080af6340c53c77a4eeb35b1d?cid=044f973e13634ba3becdcb523d0f964f,australian post rock,0.243,0.632,0.15,0.000194
Folk Forms I - Live Version II,Charles Mingus,spotify:track:4uQi2vWqSHcORaUyVaExtV,https://p.scdn.co/mp3-preview/f8069713fc2d65acf96b8e92ad777358b5f17e6d?cid=044f973e13634ba3becdcb523d0f964f,free folk,0.496,0.399,0.687,0.516
Talvez Um Dia,Emoponto,spotify:track:06O9YnAN73vFejZBNne63g,,brazilian emo,0.409,0.99,0.461,0.0762
THE DEATH OF PEACE OF MIND,Bad Omens,spotify:track:070TMc1fjJGBGxxmf1DIbD,https://p.scdn.co/mp3-preview/857df19fbedda5f7a6d878b1646250999c7b1cb0?cid=044f973e13634ba3becdcb523d0f964f,metalcore,0.467,0.705,0.267,0.079
Houd De Dief - Uit Liefde Voor Muziek,Karen Damen,spotify:track:2C2zUnNmSD57Dlk6MUycLH,https://p.scdn.co/mp3-preview/a6264b654aed002f15de90d033a078b916bf1438?cid=044f973e13634ba3becdcb523d0f964f,kleinkunst,0.651,0.532,0.313,0.595
Hægt og hljótt,Halla Margrét,spotify:track:3UGQDVQ1b6iPVBu6GuUY4z,https://p.scdn.co/mp3-preview/e66c457517a7fc206d728dc6a3e5369f11d67910?cid=044f973e13634ba3becdcb523d0f964f,classic eurovision,0.304,0.31,0.125,0.751
If I Can't Get Down - Mousse T.'s Funky Shizzle Extended Mix,Mike Dunn,spotify:track:7CoisTX3Ae4m6YLF6gB5G9,https://p.scdn.co/mp3-preview/56ca3d81e120495b168b24e93aa527cad30ecade?cid=044f973e13634ba3becdcb523d0f964f,deep funk house,0.837,0.921,0.801,0.0261
Adagio,Alexander Popov,spotify:track:4uapmVeTavuYG6jT7XMNx0,https://p.scdn.co/mp3-preview/31c19f3c060d0f55ee7ff21af2e057d16aa10efa?cid=044f973e13634ba3becdcb523d0f964f,russian pop,0.471,0.941,0.175,0.00159
De Una Vez,Banda MS de Sergio Lizárraga,spotify:track:6D8qailERyov9NzV2d5kwh,https://p.scdn.co/mp3-preview/fb31c1bba1486f25a30f9749431a0df811e99c39?cid=044f973e13634ba3becdcb523d0f964f,banda,0.792,0.576,0.972,0.357
Easy or Not,To My Surprise,spotify:track:33zBEfnYB5hPhLHvmaeFxp,https://p.scdn.co/mp3-preview/23bd81d82a7ed752e7ad647c20afc650386c0a99?cid=044f973e13634ba3becdcb523d0f964f,iowa indie,0.479,0.976,0.725,0.000851
Going Out,JAMIE WEBSTER,spotify:track:0J0USS9owXStCY1cpaWgPz,https://p.scdn.co/mp3-preview/6fe3c9815c55fa255f55ea3bba398c3c4a9040a7?cid=044f973e13634ba3becdcb523d0f964f,football,0.463,0.945,0.614,0.00402
La Cenerentola / Act 1: Una volta c'era...Una soave non so che,Gioachino Rossini,spotify:track:2a0OwQIvH5MuzUtXezilJc,,classical era,0.427,0.161,0.195,0.968
Deus É Fiel,Dunamis Music,spotify:track:7x3wjXL1m9WE6rNaFjHRbX,https://p.scdn.co/mp3-preview/6bab0e73d09b1b3aeb04638f38ab0fb469818132?cid=044f973e13634ba3becdcb523d0f964f,gospel rap,0.41,0.487,0.04,0.11
The Upside (feat. Elle King),Lindsey Stirling,spotify:track:12MCtbckqyLvaOjG7u7UnI,https://p.scdn.co/mp3-preview/2231a43fb2206e695faea96801d9ac0df612b228?cid=044f973e13634ba3becdcb523d0f964f,violin,0.514,0.857,0.346,0.00121
Who Wrote the Book of Love,The Monotones,spotify:track:0cDohGVc1Is4Fxj0lDoEQY,https://p.scdn.co/mp3-preview/f2477d541d1daa9bc63dd0e9c601d434f39ce603?cid=044f973e13634ba3becdcb523d0f964f,doo wop,0.473,0.775,0.526,0.776
Good Ole Dayz - L.P. Version,Horsepower Productions,spotify:track:07MaA2b9uY5x5HcImGCxbO,https://p.scdn.co/mp3-preview/eb34cc999aae71f5529bd7e4f99c08693c36329d?cid=044f973e13634ba3becdcb523d0f964f,dubstep product,0.59,0.94,0.323,0.00183
De E Bulgaria (instrumental),Children Vocal band Morski Pesychinki,spotify:track:6QWbMkPs92WTOeZ56e8L9x,https://p.scdn.co/mp3-preview/2b8d756d3afee2b04a1e70b3b4932baf5e090959?cid=044f973e13634ba3becdcb523d0f964f,detski pesnichki,0.537,0.545,0.861,1.13e-05
That was you (+),Pink Turns Blue,spotify:track:69RS5MBHsy4C4FloewMbax,https://p.scdn.co/mp3-preview/95541e3fca487ea31aee8fb7b4a0f10472267aec?cid=044f973e13634ba3becdcb523d0f964f,deathrock,0.395,0.773,0.427,0.0197
Betty and Dupree,Brownie McGhee,spotify:track:2zjf1lTHlyYNDvX22bjrbg,https://p.scdn.co/mp3-preview/44f0429011fbe521a1d9dfeb051530122e0a8494?cid=044f973e13634ba3becdcb523d0f964f,piedmont blues,0.528,0.0335,0.386,0.984
Another Romeo & Juliet,Pop Evil,spotify:track:4HfU82L7UOlod8phO0DIPP,,grunge pop,0.431,0.815,0.447,0.00768
All Things All At Once,Tired Pony,spotify:track:4JJmIjqq2Z1A4xbAjY8284,,irish indie,0.496,0.631,0.519,0.416
Otra Vez Voy a Llorar,Alicia Delgado,spotify:track:4En89Wr10q59qm1qQGpjZk,https://p.scdn.co/mp3-preview/004ac34d35d6af1aa840e614ac71e98f749a3a84?cid=044f973e13634ba3becdcb523d0f964f,pop peruano,0.506,0.623,0.635,0.349
Rakkauden unta,Problems,spotify:track:4noKj9Eain1d52J4JZJVME,,finnish punk,0.631,0.531,0.624,0.0254
The Pyramid & the Sphere,Progression By Failure,spotify:track:2xH3su7uzQLgUQyuugprPC,https://p.scdn.co/mp3-preview/544953a01a093fb40fee0e82cd09d7a4e04b8a1f?cid=044f973e13634ba3becdcb523d0f964f,crossover prog,0.343,0.549,0.185,0.00592
Dreaming of You,The Coral,spotify:track:6ebxt3Iylxe0GcEuUGlIvb,https://p.scdn.co/mp3-preview/14d3eb694de0c57662abad60a15f2cb3e82dd14b?cid=044f973e13634ba3becdcb523d0f964f,britpop,0.441,0.684,0.971,0.374
Uncovered Funk,Dkay,spotify:track:2IVedpSejNHF1xElQQfn7L,https://p.scdn.co/mp3-preview/2dbf3e21b4836f06a05267cceb4891d5bddcee18?cid=044f973e13634ba3becdcb523d0f964f,liquid funk,0.502,0.984,0.448,3.97e-05
