name,artist,uri,url,genre,danceability,energy,valence,acousticness
Bend Ova 2,Shockman,spotify:track:3XX4OgCGcnFsOvyhuKdB7k,https://p.scdn.co/mp3-preview/921e472fbfcd2bff54bab89be7e25c88b128f070?cid=044f973e13634ba3becdcb523d0f964f,dutch urban,0.776,0.601,0.678,0.0678
Por una Cabeza - Live,Katica Illényi,spotify:track:1Dmd8vP25pcdyLyzZ4irlg,https://p.scdn.co/mp3-preview/a72c987595debf86445a54c2d9459fd0113ffe77?cid=044f973e13634ba3becdcb523d0f964f,theremin,0.391,0.287,0.527,0.348
MAGNIFICAT: IV. Et misericordia,Kim André Arnesen,spotify:track:7hCjYyF7o4mlJVEKinVAw8,https://p.scdn.co/mp3-preview/823456d0e775841efc59f15503840f88566b90c4?cid=044f973e13634ba3becdcb523d0f964f,contemporary choir,0.113,0.121,0.0388,0.947
It's Christmas,Jamie Cullum,spotify:track:7lrolhgCVS88H7lJHtn45P,,j pop,0.598,0.447,0.365,0.224
"Musicalische Exequien, Op. 7, SWV 279-281: Nacket bin ich vom Mutterleibe kommen, SWV 279, ""Concert … in Form einer teutschen Missa""",Heinrich Schütz,spotify:track:04RWthZTXEBXjEyWXwGbWj,https://p.scdn.co/mp3-preview/f3e3b6abcb15f1a1542133633cedabaa4f45c840?cid=044f973e13634ba3becdcb523d0f964f,german renaissance,0.146,0.101,0.0785,0.98
Up! good Christian folk,St Edmundsbury Cathedral Choir,spotify:track:1r22PFtGEiknpzqQmldSeA,https://p.scdn.co/mp3-preview/e1e1c6f980aee49b2a0e00b13f53636071431d6e?cid=044f973e13634ba3becdcb523d0f964f,british folk,0.178,0.0689,0.282,0.995
Life of the Mind (Look Upon Me),Wolf Dragonard,spotify:track:4lyMFiwPatHYWEkiRnJqIP,https://p.scdn.co/mp3-preview/d0c4fa2c11e50b45cd0aacd508565148f68bb6f5?cid=044f973e13634ba3becdcb523d0f964f,swedish synth,0.611,0.761,0.454,0.37
Psychobilly Jekyll and Mr. Hyde,The Quakes,spotify:track:1p5K2rfLQBtlChUzqyTxiq,https://p.scdn.co/mp3-preview/503125bb434d2ed099f3af4161f82fade4440bb7?cid=044f973e13634ba3becdcb523d0f964f,deep psychobilly,0.32,0.953,0.647,0.000798
"Eu, o Copo e a Solidão",Toque de Mágica,spotify:track:0qRmtqXocP3M3hWlIEYyMt,https://p.scdn.co/mp3-preview/6e1c64070f2befa9506dd14073708cb9c2ea9744?cid=044f973e13634ba3becdcb523d0f964f,bandinhas,0.663,0.835,0.949,0.0672
Tou sèl an mwen - Touch the Sky Riddim,SAÏK,spotify:track:771uSSYLJg8WdtFYYp5NWQ,https://p.scdn.co/mp3-preview/b9e7fd8e05a89ccf9519bcb49308d59421eece7f?cid=044f973e13634ba3becdcb523d0f964f,zouk riddim,0.406,0.778,0.517,0.276
